Season,Agent Type,Agent Type Count, Avg Air Nutrients, Avg Soil Nutrients
january,leaf agent count,182,0.9384366869926453,2.9371838569641113
january,root agent count,266,2.244601249694824,1.315717101097107
january,flower agent count,57,1.1143927574157715,1.2602784633636475
january,unspecialized agent count,0,0.0,0.0
february,leaf agent count,179,0.958885669708252,2.639116048812866
february,root agent count,255,2.048741340637207,1.3916535377502441
february,flower agent count,48,1.094416856765747,1.1240659952163696
february,unspecialized agent count,0,0.0,0.0
march,leaf agent count,202,1.2937222719192505,2.0788166522979736
march,root agent count,230,2.095987558364868,1.570642352104187
march,flower agent count,38,1.5835177898406982,1.0736271142959595
march,unspecialized agent count,0,0.0,0.0
april,leaf agent count,227,1.6677154302597046,1.713507056236267
april,root agent count,199,2.315614700317383,1.4529780149459839
april,flower agent count,31,2.2840304374694824,0.9570856690406799
april,unspecialized agent count,0,0.0,0.0
may,leaf agent count,252,1.7688100337982178,1.4194252490997314
may,root agent count,225,2.2452547550201416,1.4284565448760986
may,flower agent count,26,2.3345649242401123,0.9180463552474976
may,unspecialized agent count,0,0.0,0.0
june,leaf agent count,238,1.906675934791565,1.4115456342697144
june,root agent count,227,2.327549695968628,1.6390275955200195
june,flower agent count,26,2.1753625869750977,0.8687385320663452
june,unspecialized agent count,0,0.0,0.0
july,leaf agent count,224,2.1627416610717773,1.4842278957366943
july,root agent count,223,2.4592878818511963,1.5787620544433594
july,flower agent count,31,2.441725730895996,0.8063069581985474
july,unspecialized agent count,0,0.0,0.0
august,leaf agent count,201,1.6600507497787476,1.7557547092437744
august,root agent count,216,2.5017478466033936,1.5924012660980225
august,flower agent count,26,1.7060191631317139,0.9651923179626465
august,unspecialized agent count,0,0.0,0.0
september,leaf agent count,207,1.244987964630127,1.8631322383880615
september,root agent count,208,2.5641071796417236,1.4133704900741577
september,flower agent count,22,1.4792871475219727,1.115465521812439
september,unspecialized agent count,0,0.0,0.0
october,leaf agent count,217,1.2093173265457153,1.8889638185501099
october,root agent count,204,2.7173359394073486,1.2524681091308594
october,flower agent count,24,1.2447105646133423,1.0771433115005493
october,unspecialized agent count,0,0.0,0.0
november,leaf agent count,209,1.0556942224502563,1.9596797227859497
november,root agent count,214,2.513087034225464,1.132922649383545
november,flower agent count,22,1.1511907577514648,1.0987367630004883
november,unspecialized agent count,0,0.0,0.0
december,leaf agent count,192,0.9810842871665955,1.9930471181869507
december,root agent count,219,2.183284044265747,1.1313767433166504
december,flower agent count,22,1.0632489919662476,0.9970566630363464
december,unspecialized agent count,0,0.0,0.0
