Season,Total in Month, Avg Agent Age, Avg Agent SI
january, 493,951.8675537109375,6625.71044921875
february, 482,984.9068603515625,6775.32470703125
march, 455,1002.0284423828125,7167.7119140625
april, 464,1040.8997802734375,7040.61572265625
may, 490,1074.680908203125,6656.0615234375
june, 492,1042.3673095703125,6639.49365234375
july, 516,1058.6473388671875,6334.20263671875
august, 596,1062.8511962890625,5488.8623046875
september, 676,1055.03466796875,4846.69677734375
october, 713,1056.2294921875,4591.603515625
november, 732,1083.692626953125,4472.8232421875
december, 734,1114.9122314453125,4457.5380859375
